Categories,Average_Position,Clicks,Money_Spent,Channel,Location,Prospects,Paid,Total,Day,Month,Year
Membership Management,7.0,1.0,9.5,Capterra,Australia,0.0,0,-9.5,3,Nov,2020
Membership Management,11.0,2.0,36.0,Capterra,USA,0.0,0,-36.0,3,Nov,2020
Music School,7.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,3,Nov,2020
Parks and Recreation,5.0,1.0,17.0,Capterra,USA,0.0,0,-17.0,3,Nov,2020
Personal Trainer,23.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,3,Nov,2020
Personal Trainer,24.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,3,Nov,2020
Reservations,16.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,3,Nov,2020
Reservations,29.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,3,Nov,2020
Reservations,9.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,3,Nov,2020
Venue Management,12.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,3,Nov,2020
Club Management,52.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,4,Nov,2020
Coaching,13.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,4,Nov,2020
Membership Management,5.67,3.0,54.0,Capterra,USA,0.0,0,-54.0,4,Nov,2020
Music School,10.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,4,Nov,2020
Personal Trainer,23.0,2.0,4.0,Capterra,USA,0.0,0,-4.0,4,Nov,2020
Reservations,5.0,1.0,5.75,Capterra,Australia,0.0,0,-5.75,4,Nov,2020
Reservations,29.0,2.0,4.0,GetApp,USA,0.0,0,-4.0,4,Nov,2020
Reservations,6.0,1.0,15.0,Capterra,USA,0.0,0,-15.0,4,Nov,2020
Reservations,16.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,4,Nov,2020
Reservations,8.0,1.0,7.5,Capterra,Canada,0.0,0,-7.5,4,Nov,2020
Scheduling,29.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,4,Nov,2020
Venue Management,3.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,4,Nov,2020
Membership Management,14.0,1.0,18.0,Capterra,USA,0.0,0,-18.0,5,Nov,2020
Parks and Recreation,6.0,1.0,16.25,Capterra,USA,0.0,0,-16.25,5,Nov,2020
Personal Trainer,5.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,5,Nov,2020
Personal Trainer,25.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,5,Nov,2020
Reservations,5.0,1.0,5.75,Capterra,Australia,0.0,0,-5.75,5,Nov,2020
Reservations,6.0,2.0,30.0,Capterra,USA,0.0,0,-30.0,5,Nov,2020
Reservations,9.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,5,Nov,2020
Reservations,8.0,1.0,7.5,Capterra,Canada,0.0,0,-7.5,5,Nov,2020
Scheduling,31.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,5,Nov,2020
Swim School,7.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,5,Nov,2020
Venue Management,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,5,Nov,2020
Yoga Studio,9.0,1.0,2.0,Capterra,Singapore,0.0,0,-2.0,5,Nov,2020
Club Management,45.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,6,Nov,2020
Membership Management,14.0,2.0,36.0,Capterra,USA,0.0,0,-36.0,6,Nov,2020
Reservations,13.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,6,Nov,2020
Reservations,6.0,2.0,30.0,Capterra,USA,1.0,0,-30.0,6,Nov,2020
Reservations,8.0,1.0,7.5,Capterra,Canada,0.0,0,-7.5,6,Nov,2020
Scheduling,29.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,6,Nov,2020
Spa,22.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,6,Nov,2020
Swim School,7.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,6,Nov,2020
Venue Management,2.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,6,Nov,2020
Venue Management,2.0,1.0,2.0,Capterra,Singapore,0.0,0,-2.0,6,Nov,2020
Venue Management,10.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,6,Nov,2020
Yoga Studio,17.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,6,Nov,2020
Club Management,45.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,7,Nov,2020
Fitness,31.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,7,Nov,2020
Membership Management,14.0,3.0,54.0,Capterra,USA,0.0,0,-54.0,7,Nov,2020
Parks and Recreation,1.0,1.0,16.25,Capterra,USA,0.0,0,-16.25,7,Nov,2020
Reservations,1.0,1.0,15.0,Capterra,USA,1.0,0,-15.0,7,Nov,2020
Scheduling,15.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,7,Nov,2020
Venue Management,12.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,7,Nov,2020
Coaching,12.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,8,Nov,2020
Membership Management,10.67,3.0,54.0,Capterra,USA,0.0,0,-54.0,8,Nov,2020
Personal Trainer,21.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,8,Nov,2020
Reservations,1.0,1.0,11.5,Capterra,USA,0.0,0,-11.5,8,Nov,2020
Reservations,5.0,2.0,11.5,Capterra,Australia,0.0,0,-11.5,8,Nov,2020
Reservations,13.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,8,Nov,2020
Scheduling,47.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,8,Nov,2020
Club Management,1.0,1.0,0.0,Capterra,Middle East,1.0,0,0.0,8,Nov,2020
Club Management,9.0,1.0,2.0,Capterra,Singapore,0.0,0,-2.0,9,Nov,2020
Coaching,13.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,9,Nov,2020
Coaching,9.0,2.0,4.0,GetApp,USA,0.0,0,-4.0,9,Nov,2020
Membership Management,7.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,9,Nov,2020
Membership Management,71.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,9,Nov,2020
Music School,3.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,9,Nov,2020
Personal Trainer,14.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,9,Nov,2020
Personal Trainer,18.0,1.0,2.0,Software Advice,UK,0.0,0,-2.0,9,Nov,2020
Reservations,29.5,2.0,4.0,GetApp,USA,0.0,0,-4.0,9,Nov,2020
Reservations,1.0,5.0,77.5,Capterra,USA,0.0,0,-77.5,9,Nov,2020
Scheduling,47.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,9,Nov,2020
Venue Management,5.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,9,Nov,2020
Venue Management,6.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,9,Nov,2020
Camp Management,1.0,2.0,4.0,Software Advice,USA,0.0,0,-4.0,10,Nov,2020
Class Registration,2.0,1.0,2.0,Software Advice,UK,0.0,0,-2.0,10,Nov,2020
Coaching,10.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,10,Nov,2020
Membership Management,54.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,10,Nov,2020
Parks and Recreation,6.0,1.0,16.25,Capterra,USA,0.0,0,-16.25,10,Nov,2020
Personal Trainer,14.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,10,Nov,2020
Reservations,13.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,10,Nov,2020
Reservations,1.5,4.0,62.0,Capterra,USA,0.0,0,-62.0,10,Nov,2020
Reservations,31.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,10,Nov,2020
Reservations,17.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,10,Nov,2020
Reservations,4.0,1.0,15.0,Capterra,Canada,0.0,0,-15.0,10,Nov,2020
Scheduling,15.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,10,Nov,2020
Scheduling,14.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,10,Nov,2020
Camp Management,7.0,2.0,4.0,Software Advice,USA,0.0,0,-4.0,11,Nov,2020
Membership Management,37.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,11,Nov,2020
Parks and Recreation,6.0,1.0,16.25,Capterra,USA,0.0,0,-16.25,11,Nov,2020
Personal Trainer,21.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,11,Nov,2020
Reservations,3.0,1.0,18.75,Capterra,Australia,0.0,0,-18.75,11,Nov,2020
Reservations,2.0,1.0,15.5,Capterra,USA,0.0,0,-15.5,11,Nov,2020
Reservations,31.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,11,Nov,2020
Reservations,4.0,2.0,35.0,Capterra,UK,0.0,0,-35.0,11,Nov,2020
Scheduling,1.0,11.0,82.5,Capterra,Australia,0.0,0,-82.5,11,Nov,2020
Scheduling,1.0,80.0,1460.0,Capterra,USA,0.0,0,-1460.0,11,Nov,2020
